Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
41001010009P7;ENFERMAGEM;UNIVERSIDADE FEDERAL DE SANTA CATARINA;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;6;6;-;-
42001013067P6;ENFERMAGEM;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
42004012009P5;ENFERMAGEM;UNIVERSIDADE FEDERAL DO RIO GRANDE;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
52001016023P7;ENFERMAGEM;UNIVERSIDADE FEDERAL DE GOIÁS;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
50001019015P9;ENFERMAGEM;UNIVERSIDADE FEDERAL DE MATO GROSSO;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;4;4;-;-
33004064081P0;ENFERMAGEM;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( BOTUCATU );ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;PROFISSIONAL;-;-;5;5
42002010035P7;ENFERMAGEM;UNIVERSIDADE FEDERAL DE SANTA MARIA;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;4;4;-;-
21001014012P8;ENFERMAGEM;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;4;4;-;-
42003016030P8;ENFERMAGEM;UNIVERSIDADE FEDERAL DE PELOTAS;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
33001014028P5;ENFERMAGEM;UNIVERSIDADE FEDERAL DE SÃO CARLOS;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;4;4;-;-
