Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
42042011001P9;REABILITAÇÃO E INCLUSÃO;CENTRO UNIVERSITÁRIO METODISTA IPA;INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;EM DESATIVACAO;PROFISSIONAL;-;-;4;-
42002010157P5;REABILITAÇÃO FUNCIONAL;UNIVERSIDADE FEDERAL DE SANTA MARIA;EDUCAÇÃO FÍSICA                                   ;FISIOTERAPIA E TERAPIA OCUPACIONAL;EM DESATIVACAO;ACADÊMICO;3;-;-;-
33004030082P3;REABILITAÇÃO ORAL;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( ARARAQUARA );ODONTOLOGIA                                       ;ODONTOLOGIA;EM DESATIVACAO;ACADÊMICO;5;5;-;-
51004011008P4;Recursos Naturais;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;EM DESATIVACAO;ACADÊMICO;-;4;-;-
53001010069P3;REGULAÇÃO E GESTÃO DE NEGÓCIOS;UNIVERSIDADE DE BRASÍLIA;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
31065015001P0;RELAÇÕES INTERNACIONAIS PARA A AMÉRICA DO SUL;CENTRO BRASILEIRO DE ESTUDOS LATINO-AMERICANOS              ;CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ;POLÍTICA INTERNACIONAL;EM DESATIVACAO;ACADÊMICO;1;-;-;-
16003012156P8;SANIDADE ANIMAL  E SAÚDE  PÚBLICA NOS TRÓPICOS;FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;MEDICINA VETERINÁRIA                              ;MEDICINA VETERINÁRIA;EM DESATIVACAO;ACADÊMICO;3;-;-;-
12001015018P0;SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA;UNIVERSIDADE FEDERAL DO AMAZONAS;INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;EM DESATIVACAO;ACADÊMICO;1;-;-;-
12001015024P0;SOCIOLOGIA;UNIVERSIDADE FEDERAL DO AMAZONAS;SOCIOLOGIA                                        ;SOCIOLOGIA;EM DESATIVACAO;ACADÊMICO;2;-;-;-
31032010004P9;SOCIOLOGIA;UNIVERSIDADE CÂNDIDO MENDES;SOCIOLOGIA                                        ;SOCIOLOGIA;EM DESATIVACAO;ACADÊMICO;1;1;-;-
33083010002P3;TECNOLOGIA AMBIENTAL;INSTITUTO DE PESQUISAS TECNOLÓGICAS DO ESTADO DE SÃO PAULO;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
32078013001P4;TECNOLOGIA DE ALIMENTOS;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE                      ;CIÊNCIA DE ALIMENTOS                              ;TECNOLOGIA DE ALIMENTOS;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
52005011001P9;Tecnologia de Processos Sustentáveis;INSTITUTO FEDERAL DE EDUCACÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
32146019001P3;Tecnologias aplicadas à saude;FACULDADE PROMOVE DE TECNOLOGIA;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
32018010010P2;TECNOLOGIAS PARA O DESENVOLVIMENTO SUSTENTÁVEL;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM DESATIVACAO;ACADÊMICO;2;-;-;-
53001010097P7;TECNOLOGIAS QUÍMICA E BIOLÓGICA;UNIVERSIDADE DE BRASÍLIA;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM DESATIVACAO;ACADÊMICO;2;2;-;-
33002010080P3;TOXICOLOGIA E ANÁLISES TOXICOLÓGICAS;UNIVERSIDADE DE SÃO PAULO;FARMÁCIA                                          ;FARMÁCIA;EM DESATIVACAO;ACADÊMICO;5;5;-;-
33157014001P4;Trabalho, Saúde e Ambiente;FUND JORGE DUPRAT FIGUEIREDO DE SEGURANÇA E MED DO TRABALHO;INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;EM DESATIVACAO;ACADÊMICO;2;-;-;-
53001010061P2;TURISMO;UNIVERSIDADE DE BRASÍLIA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;TURISMO;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
22001018016P6;ZOOTECNIA;UNIVERSIDADE FEDERAL DO CEARÁ;ZOOTECNIA / RECURSOS PESQUEIROS                   ;ZOOTECNIA;EM DESATIVACAO;ACADÊMICO;4;-;-;-
24001031024P5;ZOOTECNIA;UNIVERSIDADE FEDERAL DA PARAÍBA ( AREIA );ZOOTECNIA / RECURSOS PESQUEIROS                   ;PRODUÇÃO ANIMAL;EM DESATIVACAO;ACADÊMICO;4;-;-;-
24001031024P5;ZOOTECNIA;UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA );ZOOTECNIA / RECURSOS PESQUEIROS                   ;PRODUÇÃO ANIMAL;EM DESATIVACAO;ACADÊMICO;4;-;-;-
40006018014P6;Zootecnia;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;ZOOTECNIA / RECURSOS PESQUEIROS                   ;PRODUÇÃO ANIMAL;EM DESATIVACAO;ACADÊMICO;3;-;-;-
